iter	Passed	Remaining
0	142	142726
1	150	75106
2	152	50700
3	155	38788
4	157	31324
5	159	26350
6	160	22779
7	162	20153
8	164	18063
9	165	16391
10	167	15024
11	169	13945
12	170	12981
13	172	12179
14	174	11452
15	176	10833
16	178	10294
17	179	9794
18	181	9349
19	182	8951
20	184	8594
21	185	8264
22	187	7960
23	188	7682
24	192	7491
25	193	7254
26	195	7033
27	196	6833
28	198	6645
29	200	6468
30	201	6305
31	203	6147
32	206	6046
33	207	5907
34	209	5774
35	214	5754
36	216	5634
37	218	5522
38	219	5416
39	221	5312
40	222	5214
41	224	5125
42	226	5035
43	227	4950
44	229	4868
45	230	4789
46	232	4713
47	235	4668
48	237	4600
49	238	4533
50	240	4468
51	241	4406
52	243	4346
53	244	4288
54	246	4233
55	247	4179
56	249	4125
57	250	4074
58	252	4028
59	254	3982
60	258	3978
61	260	3939
62	262	3900
63	264	3864
64	266	3838
65	268	3797
66	269	3755
67	271	3714
68	272	3680
69	274	3644
70	275	3608
71	277	3573
72	279	3544
73	281	3526
74	283	3494
75	284	3463
76	286	3432
77	287	3402
78	289	3373
79	290	3345
80	292	3318
81	294	3292
82	294	3258
83	296	3232
84	299	3220
85	301	3200
86	303	3186
87	305	3167
88	309	3162
89	311	3145
90	312	3123
91	314	3101
92	315	3080
93	317	3063
94	319	3042
95	320	3021
96	322	3001
97	324	2984
98	326	2969
99	327	2950
100	329	2933
101	331	2914
102	332	2897
103	334	2879
104	336	2866
105	338	2852
106	340	2841
107	342	2827
108	344	2815
109	349	2824
110	350	2809
111	352	2793
112	353	2777
113	355	2761
114	356	2746
115	358	2731
116	359	2713
117	361	2699
118	363	2688
119	364	2674
120	366	2660
121	367	2644
122	371	2648
123	373	2638
124	375	2628
125	377	2618
126	379	2607
127	381	2595
128	382	2583
129	384	2570
130	385	2557
131	387	2545
132	388	2533
133	390	2521
134	395	2535
135	397	2523
136	398	2512
137	400	2500
138	402	2492
139	404	2483
140	405	2472
141	406	2458
142	408	2447
143	409	2437
144	411	2426
145	413	2417
146	416	2417
147	418	2406
148	419	2396
149	421	2387
150	422	2377
151	424	2367
152	425	2358
153	427	2348
154	428	2338
155	430	2328
156	431	2319
157	433	2310
158	435	2301
159	438	2300
160	439	2288
161	440	2279
162	442	2270
163	443	2262
164	445	2253
165	446	2244
166	448	2236
167	450	2228
168	452	2222
169	454	2220
170	456	2214
171	462	2224
172	464	2218
173	465	2212
174	468	2209
175	470	2203
176	472	2197
177	474	2191
178	477	2187
179	478	2180
180	480	2173
181	482	2168
182	484	2162
183	486	2158
184	490	2162
185	493	2157
186	495	2152
187	497	2147
188	499	2141
189	503	2144
190	505	2140
191	507	2135
192	508	2127
193	510	2120
194	512	2114
195	513	2108
196	515	2101
197	516	2094
198	518	2087
199	520	2080
200	521	2073
201	523	2066
202	526	2067
203	528	2062
204	530	2057
205	532	2052
206	534	2046
207	535	2039
208	537	2032
209	538	2026
210	540	2020
211	541	2014
212	543	2008
213	545	2002
214	546	1996
215	549	1995
216	551	1990
217	553	1985
218	555	1980
219	557	1975
220	559	1972
221	561	1967
222	562	1961
223	564	1955
224	565	1949
225	567	1944
226	569	1938
227	571	1936
228	573	1931
229	575	1925
230	576	1919
231	578	1913
232	579	1907
233	580	1901
234	582	1895
235	583	1889
236	585	1885
237	587	1879
238	588	1874
239	590	1868
240	594	1872
241	596	1868
242	598	1863
243	599	1857
244	601	1852
245	602	1847
246	604	1841
247	605	1836
248	607	1831
249	608	1825
250	611	1825
251	613	1820
252	616	1821
253	618	1815
254	619	1810
255	621	1805
256	623	1801
257	624	1796
258	626	1791
259	627	1786
260	629	1781
261	630	1777
262	632	1772
263	634	1767
264	635	1762
265	638	1762
266	640	1758
267	641	1753
268	643	1749
